AvailableWorkers_____type,AvailableWorkers__Initials,AvailableWorkers__Name,AvailableWorkers__SalaryNumber,ProductionOrders_____type,ProductionOrders__Customer_____type,ProductionOrders__Customer__Name,ProductionOrders__Delivery_____type,ProductionOrders__Delivery__DeliveryTime,ProductionOrders__DepartmentTasks_____type,ProductionOrders__DepartmentTasks__Department_____type,ProductionOrders__DepartmentTasks__Department__Name,ProductionOrders__DepartmentTasks__EndDate,ProductionOrders__DepartmentTasks__FinishedOrder,ProductionOrders__DepartmentTasks__StartDate,ProductionOrders__Order_____type,ProductionOrders__Order__OrderNumber
Worker:#ProductionMonitor,NS,Nedas Surkus,1502,ProductionOrder:#ProductionMonitor,Customer:#ProductionMonitor,Fakta,Delivery:#ProductionMonitor,7/8/2019 5:40,DepartmentTask:#ProductionMonitor,Department:#ProductionMonitor,Halv,6/4/2019 2:39,FALSE,5/25/2019 7:54,Order:#ProductionMonitor,4307-30529
Worker:#ProductionMonitor,GE,Greg Engu,1503,,,,,,DepartmentTask:#ProductionMonitor,Department:#ProductionMonitor,Bæl,6/12/2019 21:24,FALSE,6/4/2019 2:39,,
Worker:#ProductionMonitor,JN,John Nem,1500,,,,,,DepartmentTask:#ProductionMonitor,Department:#ProductionMonitor,Montage 3,6/21/2019 16:09,FALSE,6/12/2019 21:24,,
Worker:#ProductionMonitor,SK,Sand King,1501,,,,,,DepartmentTask:#ProductionMonitor,Department:#ProductionMonitor,Montage 2,6/30/2019 10:55,FALSE,6/21/2019 16:09,,
Worker:#ProductionMonitor,DA,David Album,1501,,,,,,DepartmentTask:#ProductionMonitor,Department:#ProductionMonitor,Bertel,7/8/2019 5:40,FALSE,6/30/2019 10:55,,
,,,,ProductionOrder:#ProductionMonitor,Customer:#ProductionMonitor,E3,Delivery:#ProductionMonitor,3/16/2019 5:40,DepartmentTask:#ProductionMonitor,Department:#ProductionMonitor,Halv,3/4/2019 2:39,FALSE,2/28/2019 7:54,Order:#ProductionMonitor,5607-78535
,,,,,,,,,DepartmentTask:#ProductionMonitor,Department:#ProductionMonitor,Bæl,3/12/2019 21:24,FALSE,3/4/2019 2:39,,
,,,,,,,,,DepartmentTask:#ProductionMonitor,Department:#ProductionMonitor,Montage 3,3/16/2019 16:09,FALSE,3/12/2019 21:24,,
,,,,ProductionOrder:#ProductionMonitor,Customer:#ProductionMonitor,Bilka,Delivery:#ProductionMonitor,5/21/2019 5:40,DepartmentTask:#ProductionMonitor,Department:#ProductionMonitor,Halv,5/4/2019 2:39,FALSE,4/25/2019 7:54,Order:#ProductionMonitor,9546-51514
,,,,,,,,,DepartmentTask:#ProductionMonitor,Department:#ProductionMonitor,Bæl,5/12/2019 21:24,FALSE,5/4/2019 2:39,,
,,,,,,,,,DepartmentTask:#ProductionMonitor,Department:#ProductionMonitor,Montage 3,5/20/2019 16:09,FALSE,5/12/2019 21:24,,
,,,,,,,,,DepartmentTask:#ProductionMonitor,Department:#ProductionMonitor,Montage 2,5/21/2019 10:55,FALSE,5/20/2019 16:09,,
,,,,ProductionOrder:#ProductionMonitor,Customer:#ProductionMonitor,Fakta,Delivery:#ProductionMonitor,7/11/2019 5:40,DepartmentTask:#ProductionMonitor,Department:#ProductionMonitor,Halv,6/5/2019 2:39,FALSE,5/25/2019 7:54,Order:#ProductionMonitor,1234-6857
,,,,,,,,,DepartmentTask:#ProductionMonitor,Department:#ProductionMonitor,Bæl,6/14/2019 21:24,FALSE,6/5/2019 2:39,,
,,,,,,,,,DepartmentTask:#ProductionMonitor,Department:#ProductionMonitor,Montage 3,6/21/2019 16:09,FALSE,6/14/2019 21:24,,
,,,,,,,,,DepartmentTask:#ProductionMonitor,Department:#ProductionMonitor,Montage 2,7/1/2019 10:55,FALSE,6/21/2019 16:09,,
,,,,,,,,,DepartmentTask:#ProductionMonitor,Department:#ProductionMonitor,Bertel,7/11/2019 5:40,FALSE,7/1/2019 10:55,,
